Type,Percent
1079-A,0.704082844
1079-B,0.982090387
1079-B,0.993043866
1079-B,0.997451746
1079-B,0.93180627
1080-A,0.933120515
1080-A,0.948229391
1080-B,0.93880451
1080-B,0.904450453
1080-B,0.932732522
